,file_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class_index,class_name,file_path
0,00001.jpg,39,116,569,375,14,Audi TTS Coupe 2012,data\stanford_cars\train\Audi TTS Coupe 2012\00001.jpg
1,00002.jpg,36,116,868,587,3,Acura TL Sedan 2012,data\stanford_cars\train\Acura TL Sedan 2012\00002.jpg
2,00003.jpg,85,109,601,381,91,Dodge Dakota Club Cab 2007,data\stanford_cars\train\Dodge Dakota Club Cab 2007\00003.jpg
3,00004.jpg,621,393,1484,1096,134,Hyundai Sonata Hybrid Sedan 2012,data\stanford_cars\train\Hyundai Sonata Hybrid Sedan 2012\00004.jpg
4,00005.jpg,14,36,133,99,106,Ford F-450 Super Duty Crew Cab 2012,data\stanford_cars\train\Ford F-450 Super Duty Crew Cab 2012\00005.jpg
5,00006.jpg,259,289,515,416,123,Geo Metro Convertible 1993,data\stanford_cars\train\Geo Metro Convertible 1993\00006.jpg
6,00007.jpg,88,80,541,397,89,Dodge Journey SUV 2012,data\stanford_cars\train\Dodge Journey SUV 2012\00007.jpg
7,00008.jpg,73,79,591,410,96,Dodge Charger Sedan 2012,data\stanford_cars\train\Dodge Charger Sedan 2012\00008.jpg
8,00009.jpg,20,126,1269,771,167,Mitsubishi Lancer Sedan 2012,data\stanford_cars\train\Mitsubishi Lancer Sedan 2012\00009.jpg
9,00010.jpg,21,110,623,367,58,Chevrolet Traverse SUV 2012,data\stanford_cars\train\Chevrolet Traverse SUV 2012\00010.jpg
10,00011.jpg,51,93,601,393,49,Buick Verano Sedan 2012,data\stanford_cars\train\Buick Verano Sedan 2012\00011.jpg
11,00012.jpg,6,62,499,286,186,Toyota Sequoia SUV 2012,data\stanford_cars\train\Toyota Sequoia SUV 2012\00012.jpg
12,00013.jpg,30,36,418,307,135,Hyundai Elantra Sedan 2007,data\stanford_cars\train\Hyundai Elantra Sedan 2007\00013.jpg
13,00014.jpg,31,246,778,540,85,Dodge Caravan Minivan 1997,data\stanford_cars\train\Dodge Caravan Minivan 1997\00014.jpg
14,00015.jpg,32,77,589,379,193,Volvo C30 Hatchback 2012,data\stanford_cars\train\Volvo C30 Hatchback 2012\00015.jpg
15,00016.jpg,27,49,611,396,172,Plymouth Neon Coupe 1999,data\stanford_cars\train\Plymouth Neon Coupe 1999\00016.jpg
16,00017.jpg,39,52,233,150,14,Audi TTS Coupe 2012,data\stanford_cars\train\Audi TTS Coupe 2012\00017.jpg
17,00018.jpg,3,8,190,147,73,Chevrolet Malibu Sedan 2007,data\stanford_cars\train\Chevrolet Malibu Sedan 2007\00018.jpg
18,00019.jpg,247,287,1366,761,192,Volkswagen Beetle Hatchback 2012,data\stanford_cars\train\Volkswagen Beetle Hatchback 2012\00019.jpg
19,00020.jpg,17,281,961,596,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,data\stanford_cars\train\Chevrolet Corvette Ron Fellows Edition Z06 2007\00020.jpg
20,00021.jpg,17,156,695,375,79,Chrysler 300 SRT-8 2010,data\stanford_cars\train\Chrysler 300 SRT-8 2010\00021.jpg
21,00022.jpg,212,538,1893,1131,36,BMW M6 Convertible 2010,data\stanford_cars\train\BMW M6 Convertible 2010\00022.jpg
22,00023.jpg,11,28,476,234,120,GMC Yukon Hybrid SUV 2012,data\stanford_cars\train\GMC Yukon Hybrid SUV 2012\00023.jpg
23,00024.jpg,53,126,973,621,170,Nissan Juke Hatchback 2012,data\stanford_cars\train\Nissan Juke Hatchback 2012\00024.jpg
24,00025.jpg,34,87,567,343,194,Volvo 240 Sedan 1993,data\stanford_cars\train\Volvo 240 Sedan 1993\00025.jpg
25,00026.jpg,30,174,598,379,134,Hyundai Sonata Hybrid Sedan 2012,data\stanford_cars\train\Hyundai Sonata Hybrid Sedan 2012\00026.jpg
26,00027.jpg,80,107,606,336,184,Suzuki SX4 Sedan 2012,data\stanford_cars\train\Suzuki SX4 Sedan 2012\00027.jpg
27,00028.jpg,45,115,585,382,86,Dodge Ram Pickup 3500 Crew Cab 2010,data\stanford_cars\train\Dodge Ram Pickup 3500 Crew Cab 2010\00028.jpg
28,00029.jpg,28,139,1564,1126,180,Spyker C8 Coupe 2009,data\stanford_cars\train\Spyker C8 Coupe 2009\00029.jpg
29,00030.jpg,82,109,874,521,194,Volvo 240 Sedan 1993,data\stanford_cars\train\Volvo 240 Sedan 1993\00030.jpg
30,00031.jpg,55,318,446,564,154,Land Rover Range Rover SUV 2012,data\stanford_cars\train\Land Rover Range Rover SUV 2012\00031.jpg
31,00032.jpg,12,31,471,350,139,Hyundai Elantra Touring Hatchback 2012,data\stanford_cars\train\Hyundai Elantra Touring Hatchback 2012\00032.jpg
32,00033.jpg,34,197,1011,656,66,Chevrolet Cobalt SS 2010,data\stanford_cars\train\Chevrolet Cobalt SS 2010\00033.jpg
33,00034.jpg,37,63,614,397,133,Hyundai Veracruz SUV 2012,data\stanford_cars\train\Hyundai Veracruz SUV 2012\00034.jpg
34,00035.jpg,223,87,1111,670,154,Land Rover Range Rover SUV 2012,data\stanford_cars\train\Land Rover Range Rover SUV 2012\00035.jpg
35,00036.jpg,138,41,521,223,104,Ferrari 458 Italia Coupe 2012,data\stanford_cars\train\Ferrari 458 Italia Coupe 2012\00036.jpg
36,00037.jpg,31,87,616,344,38,BMW Z4 Convertible 2012,data\stanford_cars\train\BMW Z4 Convertible 2012\00037.jpg
37,00038.jpg,16,89,459,326,97,Dodge Charger SRT-8 2009,data\stanford_cars\train\Dodge Charger SRT-8 2009\00038.jpg
38,00039.jpg,53,113,614,350,105,Fisker Karma Sedan 2012,data\stanford_cars\train\Fisker Karma Sedan 2012\00039.jpg
39,00040.jpg,214,110,660,403,142,Infiniti QX56 SUV 2011,data\stanford_cars\train\Infiniti QX56 SUV 2011\00040.jpg
40,00041.jpg,61,55,566,408,13,Audi A5 Coupe 2012,data\stanford_cars\train\Audi A5 Coupe 2012\00041.jpg
41,00042.jpg,28,61,622,371,191,Volkswagen Golf Hatchback 1991,data\stanford_cars\train\Volkswagen Golf Hatchback 1991\00042.jpg
42,00043.jpg,22,39,588,362,119,GMC Savana Van 2012,data\stanford_cars\train\GMC Savana Van 2012\00043.jpg
43,00044.jpg,220,193,537,364,38,BMW Z4 Convertible 2012,data\stanford_cars\train\BMW Z4 Convertible 2012\00044.jpg
44,00045.jpg,12,108,489,297,186,Toyota Sequoia SUV 2012,data\stanford_cars\train\Toyota Sequoia SUV 2012\00045.jpg
45,00046.jpg,28,80,759,466,25,Audi TT RS Coupe 2012,data\stanford_cars\train\Audi TT RS Coupe 2012\00046.jpg
46,00047.jpg,84,248,1102,899,194,Volvo 240 Sedan 1993,data\stanford_cars\train\Volvo 240 Sedan 1993\00047.jpg
47,00048.jpg,142,69,753,451,177,Rolls-Royce Phantom Sedan 2012,data\stanford_cars\train\Rolls-Royce Phantom Sedan 2012\00048.jpg
48,00049.jpg,166,543,887,903,173,Porsche Panamera Sedan 2012,data\stanford_cars\train\Porsche Panamera Sedan 2012\00049.jpg
49,00050.jpg,20,96,564,341,42,Bentley Continental GT Coupe 2012,data\stanford_cars\train\Bentley Continental GT Coupe 2012\00050.jpg
50,00051.jpg,41,181,607,465,91,Dodge Dakota Club Cab 2007,data\stanford_cars\train\Dodge Dakota Club Cab 2007\00051.jpg
51,00052.jpg,39,29,774,395,148,Jeep Grand Cherokee SUV 2012,data\stanford_cars\train\Jeep Grand Cherokee SUV 2012\00052.jpg
52,00053.jpg,161,191,425,307,15,Audi R8 Coupe 2012,data\stanford_cars\train\Audi R8 Coupe 2012\00053.jpg
53,00054.jpg,58,562,1528,1081,97,Dodge Charger SRT-8 2009,data\stanford_cars\train\Dodge Charger SRT-8 2009\00054.jpg
54,00055.jpg,80,120,582,391,42,Bentley Continental GT Coupe 2012,data\stanford_cars\train\Bentley Continental GT Coupe 2012\00055.jpg
55,00056.jpg,32,48,472,267,53,Cadillac Escalade EXT Crew Cab 2007,data\stanford_cars\train\Cadillac Escalade EXT Crew Cab 2007\00056.jpg
56,00057.jpg,260,138,972,439,44,Bentley Continental Flying Spur Sedan 2007,data\stanford_cars\train\Bentley Continental Flying Spur Sedan 2007\00057.jpg
57,00058.jpg,11,35,256,173,65,Chevrolet Avalanche Crew Cab 2012,data\stanford_cars\train\Chevrolet Avalanche Crew Cab 2012\00058.jpg
58,00059.jpg,68,91,607,354,90,Dodge Dakota Crew Cab 2010,data\stanford_cars\train\Dodge Dakota Crew Cab 2010\00059.jpg
59,00060.jpg,129,120,345,269,124,HUMMER H3T Crew Cab 2010,data\stanford_cars\train\HUMMER H3T Crew Cab 2010\00060.jpg
60,00061.jpg,11,104,1011,742,114,Ford F-150 Regular Cab 2007,data\stanford_cars\train\Ford F-150 Regular Cab 2007\00061.jpg
61,00062.jpg,19,21,425,265,190,Volkswagen Golf Hatchback 2012,data\stanford_cars\train\Volkswagen Golf Hatchback 2012\00062.jpg
62,00063.jpg,175,330,928,647,101,Ferrari FF Coupe 2012,data\stanford_cars\train\Ferrari FF Coupe 2012\00063.jpg
63,00064.jpg,97,39,925,700,187,Toyota Camry Sedan 2012,data\stanford_cars\train\Toyota Camry Sedan 2012\00064.jpg
